,v_id,lon,lat,voltage,typ,degree_centrality,pagerank,betweenness,combined_centrality,criticality_label,eigen_centrality,closeness_centrality,clustering_coefficient,load_centrality,avg_shortest_path_length,average_neighbor_degree,node_strength
12688,29272,-111.298700541335,32.553989936725,299000.0,merge,0.0002668623657348722,6.983856445874476e-05,1.3353801327805856e-07,1.5801568106163525e-05,Severe,4.6624084707270355e-263,0.00023826996940613595,0.08333333333333333,1.3353801327805856e-07,2.0,3.0,960000.0
12689,100,-82.4087335063027,27.9082918166555,230000.0,substation,0.0004670091400360264,2.9898388059909108e-05,0.0,2.063732212369191e-05,Severe,4.076600580168082e-283,0.0,0.047619047619047616,0.0,1.8125,0.8571428571428571,1587437.0
12690,5648,-65.4744657101178,48.9381771067401,276000.0,substation,0.0002668623657348722,0.0001119449522261762,4.451267109268619e-08,1.882781027066384e-05,Severe,1.588578968881428e-262,0.0001853210873158835,0.0,4.451267109268619e-08,0.6666666666666666,0.0,1129748.0
12691,15749,-102.287109237191,38.0593701700925,151800.0,substation,6.671559143371805e-05,2.9898388059909108e-05,0.0,4.838098183871021e-06,Low,4.076600580168082e-283,0.0,0.0,0.0,1.0,1.0,282437.0
12692,10720,-95.8876189244764,41.2542315161752,432000.0,station,0.0001334311828674361,4.265084188353226e-05,4.451267109268619e-09,8.415695219478642e-06,Moderate,5.526638030352534e-276,6.671559143371805e-05,0.0,4.451267109268619e-09,0.5,0.0,564874.0
12693,9162,-88.7973995752958,40.4788406775771,400000.0,station,0.00020014677430115418,0.00011678286747590198,4.1396784116198155e-07,1.687901159276256e-05,Severe,7.918491982408111e-11,0.00045150481244931733,0.0,4.1396784116198155e-07,1.0,0.5,1035000.0
12694,3551,-81.9474480637617,30.3188355154833,230000.0,substation,6.671559143371805e-05,2.9898388059909108e-05,0.0,4.838098183871021e-06,Low,4.076600580168082e-283,0.0,0.0,0.0,2.5555555555555554,2.0,230000.0
12695,1510,-76.6879690302117,38.3496437757081,276000.0,substation,0.0001334311828674361,8.76409091385172e-05,0.0,1.172959694251937e-05,High,7.451113382812355e-54,0.0001853210873158835,0.0,0.0,0.0,0.0,460000.0
12696,9955,-80.7849339253984,34.2649586747927,331000.0,station,0.0001334311828674361,2.9898388059909108e-05,0.0,7.471302173841169e-06,Low,4.076600580168082e-283,0.0,0.0,0.0,1.5,1.0,460000.0
12697,8133,-82.791895801484,32.6691610985903,280600.0,substation,0.0001334311828674361,8.955462114763408e-05,0.0,1.1870726039153118e-05,High,2.76757889581627e-20,0.00019408172053445252,0.0,0.0,0.0,0.0,460000.0
12698,16342,-80.0778123500682,26.5062723370523,138000.0,substation,0.0001334311828674361,2.9898388059909108e-05,0.0,7.471302173841169e-06,Low,4.076600580168082e-283,0.0,0.0,0.0,1.5,1.0,460000.0
12699,9854,-79.3897650425739,34.4074024418293,432000.0,station,6.671559143371805e-05,2.9898388059909108e-05,0.0,4.838098183871021e-06,Low,4.076600580168082e-283,0.0,0.0,0.0,0.5,0.0,230000.0
12700,6159,-97.056564094948,36.4474478688406,345000.0,station,0.0001334311828674361,2.9898388059909108e-05,0.0,7.471302173841169e-06,Low,4.076600580168082e-283,0.0,0.0,0.0,1.4,0.5,690000.0
12701,8926,-85.8212867029865,43.1794797947132,257600.0,substation,0.00020014677430115418,3.840002394232455e-05,1.3353801327805856e-08,1.074331193003141e-05,Moderate,6.7508509684184016e-276,6.671559143371805e-05,0.16666666666666666,1.3353801327805856e-08,2.0,3.0,1035000.0
12702,8918,-83.0055489466329,42.7987312325945,257600.0,substation,0.0002668623657348722,2.9898388059909108e-05,0.0,1.2737710153781465e-05,High,4.076600580168082e-283,0.0,0.0,0.0,1.7272727272727273,1.0,1159200.0
12703,15527,-115.939828632738,32.5681036729831,210400.0,substation,0.0001334311828674361,6.981957607468366e-05,0.0,1.0415340343759454e-05,Moderate,2.4325573855067082e-269,0.00015011008072586562,0.0,0.0,0.0,0.0,460000.0
12704,15686,-109.752753943464,46.5729350292032,133400.0,substation,0.0001334311828674361,0.00011264358744046693,0.0,1.357345086900787e-05,High,3.3473054868479596e-256,0.0001847508685856808,0.0,0.0,0.0,0.0,460000.0
12705,29795,-68.4478418923877,48.4407468784921,307000.0,joint,0.00020014677430115418,7.650505721905778e-05,0.0,1.35415735408269e-05,High,1.2545481427436501e-249,0.00023721099176433086,0.0,0.0,0.0,0.0,847311.0
12706,7881,-124.203667811666,49.6741580558023,146000.0,substation,0.0001334311828674361,7.36623044482101e-05,0.0,1.0698727175937468e-05,Moderate,1.1496015592842315e-268,0.00015011008072586562,0.0,0.0,0.0,0.0,1000000.0
12707,9374,-85.452749569574,38.5785821656567,330000.0,substation,0.0001334311828674361,4.265084188353226e-05,3.115886976488033e-08,8.439379111523214e-06,Moderate,6.7508509684184016e-276,6.671559143371805e-05,0.0,3.115886976488033e-08,3.5,1.0,690000.0
12708,3730,-94.891946017074,39.4832644848711,354000.0,substation,0.0001334311828674361,5.8982314107579775e-05,1.3353801327805856e-08,9.627974789324849e-06,Moderate,7.336357218793662e-269,0.0001200880645806925,0.0,1.3353801327805856e-08,0.5,0.0,564874.0
